STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
AGE00147794,1936-11-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,,,0.0,"4,E",0.0,"4,E",0.0,"4,E",7.0,"4,E",0.0,"4,E",19361130.0,",4,E",19361105.0,",4,E",10.0,"4,E,30,",24.0,"4,E,05,",,,,,1.6309999999999998,"7,E",1.9309999999999998,"4,,,E",1.331,"4,,,E"
AGE00147794,1936-12-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,0.0,"2,E",0.0,"1,E",0.0,"1,E",0.0,"2,E",0.0,"2,E",0.0,"2,E",19361210.0,",1,E",19361205.0,"+,2,E",4.0,"1,E,10,",20.0,"2,E,05,+",,,153.7,"2,E",1.307,"2,E",1.6280000000000001,"2,,,E",0.9869999999999999,"1,,,E"
AGE00147794,1937-05-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,34.7,",E",0.0,",E",0.0,",E",0.0,",E",19.0,",E",0.0,",E",19370501.0,",,E",19370516.0,",,E",10.0,",E,01,",32.0,",E,16,",,,30.0,",E",1.848,",E",2.239,",,,E",1.458,",,,E"
AGE00147794,1937-06-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,104.7,"2,E",0.0,"1,E",0.0,"1,E",0.0,"1,E",27.0,"1,E",0.0,"1,E",19370629.0,"+,1,E",19370603.0,",1,E",17.0,"1,E,29,+",32.0,"1,E,03,",,,0.0,"1,E",2.209,"2,E",2.552,"1,,,E",1.866,"1,,,E"
AGE00147794,1937-07-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,,,0.0,"1,E",0.0,"1,E",0.0,"5,E",26.0,"5,E",3.0,"5,E",19370701.0,",1,E",19370731.0,",5,E",18.0,"1,E,01,",37.0,"5,E,31,",,,,,2.4899999999999998,"6,E",2.846,"5,,,E",2.133,"1,,,E"
AGE00147794,1937-10-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,62.8,"4,E",0.0,"2,E",0.0,"2,E",0.0,"3,E",24.0,"3,E",0.0,"3,E",19371022.0,"+,2,E",19371002.0,",3,E",14.0,"2,E,22,+",32.0,"3,E,02,",,,0.3,"3,E",2.076,"4,E",2.396,"3,,,E",1.7550000000000001,"2,,,E"
AGE00147794,1937-11-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,46.3,"3,E",0.0,"2,E",0.0,"2,E",0.0,"1,E",18.0,"1,E",0.0,"1,E",19371129.0,",2,E",19371124.0,",1,E",12.0,"2,E,29,",29.0,"1,E,24,",,,21.8,"1,E",1.932,"3,E",2.283,"1,,,E",1.582,"2,,,E"
AGE00147794,1937-12-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,,,0.0,"3,E",0.0,"3,E",0.0,"4,E",3.0,"4,E",0.0,"4,E",19371229.0,"+,3,E",19371209.0,"+,4,E",2.0,"3,E,29,+",23.0,"4,E,09,+",,,,,1.242,"7,E",1.544,"4,,,E",0.9390000000000001,"3,,,E"
AGE00147794,1938-01-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",0.0,E,0.0,"4,E",0.0,"4,E",0.0,"4,E",0.0,"1,E",1.0,"1,E",0.0,"1,E",19380106.0,",4,E",19380113.0,",1,E",4.0,"4,E,06,",22.0,"1,E,13,",,,161.5,"1,E",1.233,"4,E",1.543,"1,,,E",0.922,"4,,,E"
AGE00147794,1938-02-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",0.0,E,0.0,"3,E",0.0,"1,E",0.0,"1,E",0.0,"2,E",0.0,"2,E",0.0,"2,E",19380215.0,",1,E",19380201.0,",2,E",3.0,"1,E,15,",20.0,"2,E,01,",,,190.3,"2,E",1.073,"3,E",1.346,"2,,,E",0.8,"1,,,E"
AGE00147794,1938-04-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,0.2,"1,E",0.0,",E",0.0,",E",0.0,"1,E",2.0,"1,E",0.0,"1,E",19380412.0,",,E",19380416.0,",1,E",6.0,",E,12,",23.0,"1,E,16,",,,123.3,"1,E",1.407,"1,E",1.6969999999999998,"1,,,E",1.117,",,,E"
AGE00147794,1938-05-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,18.0,",E",0.0,",E",0.0,",E",0.0,",E",10.0,",E",0.0,",E",19380501.0,",,E",19380530.0,",,E",9.0,",E,01,",28.0,",E,30,",,,47.8,",E",1.737,",E",2.087,",,,E",1.387,",,,E"
AGE00147794,1938-06-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,165.7,"2,E",0.0,"1,E",0.0,"1,E",0.0,"1,E",29.0,"1,E",6.0,"1,E",19380620.0,"+,1,E",19380624.0,",1,E",15.0,"1,E,20,+",36.0,"1,E,24,",,,0.0,"1,E",2.424,"2,E",2.907,"1,,,E",1.941,"1,,,E"
AGE00147794,1938-09-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,142.0,"3,E",0.0,"1,E",0.0,"1,E",0.0,"2,E",28.0,"2,E",2.0,"2,E",19380910.0,",1,E",19380903.0,",2,E",16.0,"1,E,10,",36.0,"2,E,03,",,,0.0,"2,E",2.369,"3,E",2.7,"2,,,E",2.038,"1,,,E"
AGE00147794,1938-10-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,100.8,"2,E",0.0,"1,E",0.0,"1,E",0.0,"1,E",26.0,"1,E",1.0,"1,E",19381004.0,",1,E",19381011.0,",1,E",10.0,"1,E,04,",33.0,"1,E,11,",,,8.0,"1,E",2.1550000000000002,"2,E",2.477,"1,,,E",1.8329999999999997,"1,,,E"
AGE00147794,1938-11-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,27.3,"2,E",0.0,"1,E",0.0,"1,E",0.0,"1,E",19.0,"1,E",0.0,"1,E",19381130.0,"+,1,E",19381112.0,"+,1,E",10.0,"1,E,30,+",25.0,"1,E,12,+",,,21.7,"1,E",1.848,"2,E",2.159,"1,,,E",1.538,"1,,,E"
AGE00147794,1938-12-01,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,1.7,"3,E",0.0,"2,E",0.0,"2,E",0.0,"3,E",1.0,"3,E",0.0,"3,E",19381225.0,"+,2,E",19381208.0,",3,E",4.0,"2,E,25,+",24.0,"3,E,08,",,,131.0,"3,E",1.366,"3,E",1.614,"3,,,E",1.117,"2,,,E"
